"year","CU","spawners","recruits"
1987,"1 - Southern Coastal Streams",35602.6621534011,5003.60124826283
1988,"1 - Southern Coastal Streams",44404.8172246054,10812.8514760054
1989,"1 - Southern Coastal Streams",4208.12940976519,4991.28729749329
1990,"1 - Southern Coastal Streams",29210.9360160891,4007.41556923987
1991,"1 - Southern Coastal Streams",8217.61794754122,2488.15977438138
1992,"1 - Southern Coastal Streams",8953.51464945096,3801.12459165317
1993,"1 - Southern Coastal Streams",4521.65589293103,1617.6635926387
1994,"1 - Southern Coastal Streams",4641.21968417332,5086.07640054305
1995,"1 - Southern Coastal Streams",2675.95867133901,2062.15457079832
1996,"1 - Southern Coastal Streams",4666.14517760639,2828.16257138638
1997,"1 - Southern Coastal Streams",254.253433077772,1479.99249870916
1998,"1 - Southern Coastal Streams",5425.1480068878,2330.96821597094
1999,"1 - Southern Coastal Streams",1751.81890016903,3871.28076435483
2000,"1 - Southern Coastal Streams",2934.90995128618,3041.38834069325
2001,"1 - Southern Coastal Streams",1190.82680119581,11915.3235372142
2002,"1 - Southern Coastal Streams",2652.40652953883,10218.7174269921
2003,"1 - Southern Coastal Streams",3189.19281216061,3664.57475402166
2004,"1 - Southern Coastal Streams",1280.76103245932,6393.66631767553
2005,"1 - Southern Coastal Streams",14698.1320881996,11394.8482685875
2006,"1 - Southern Coastal Streams",9838.34636867452,620.985227777447
2007,"1 - Southern Coastal Streams",169.609065219259,NA
2008,"1 - Southern Coastal Streams",12692.4353686175,NA
2009,"1 - Southern Coastal Streams",6683.63624897765,NA
2010,"1 - Southern Coastal Streams",456.572007849239,NA
2011,"1 - Southern Coastal Streams",5902.8063837489,NA
2012,"1 - Southern Coastal Streams",25463.9500569983,NA
2013,"1 - Southern Coastal Streams",9945.80251534745,NA
1953,"2 - North East Vancouver Island",119757.354111128,NA
1954,"2 - North East Vancouver Island",95773.0355428588,NA
1955,"2 - North East Vancouver Island",100450.548553929,62906.0585774753
1956,"2 - North East Vancouver Island",55903.2620080656,50103.6336786782
1957,"2 - North East Vancouver Island",67520.3095743727,81147.2854183101
1958,"2 - North East Vancouver Island",82775.4545442446,12861.9875085897
1959,"2 - North East Vancouver Island",32833.9708797474,39408.0772684001
1960,"2 - North East Vancouver Island",55187.0886575733,35841.1090554625
1961,"2 - North East Vancouver Island",60885.218912132,25899.0991129739
1962,"2 - North East Vancouver Island",28096.0916883725,49159.0511828816
1963,"2 - North East Vancouver Island",23022.2840035893,15994.3156374022
1964,"2 - North East Vancouver Island",33703.00265372,85194.3133985583
1965,"2 - North East Vancouver Island",27523.9720834107,22375.0411139789
1966,"2 - North East Vancouver Island",46333.3305138555,34241.8095716973
